Ticker,Short Name,Market Cap,Rank(Current Market Cap),Market Cap,Price:D-1,P/E,Total Return YTD,Industry Sector,Industry Group,INDUSTRY_SUBGROUP,cap,shares
PE US Equity,PARSLEY ENERGY-A,4.73B,1075,4.73B,11.46,8.32,-38.69,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,4602579209,377686057
BLD US Equity,TOPBUILD COR,4.66B,1094,4.66B,140.96,24.43,36.75,Industrial,Engineering&Construction,Building&Construct-Misc,4601510904,33080596
IDA US Equity,IDACORP INC,4.59B,1098,4.59B,90.92,19.62,-13.08,Utilities,Electric,Electric-Integrated,4597009125,50461132
VONG US Equity,VANG RUSS GROWTH,4.55B,1104,4.55B,217.13,--,20.66,Funds,Equity Fund,Growth-Large Cap,4579306641,20876711
TNET US Equity,TRINET GROUP INC,4.51B,1112,4.51B,66.96,14.82,18.28,"Consumer, Non-cyclical",Commercial Services,Human Resources,4568695636,67295561
VNQI US Equity,VG GLB EX-US R E,4.56B,1101,4.56B,48.36,--,-18.16,Funds,Equity Fund,Sector Fund-Real Estate,4565073242,94456302
IOVA US Equity,IOVANCE BIOTHERA,4.51B,1110,4.51B,30.86,--,11.49,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4561706054,146443212
CFR US Equity,CULLEN/FROST,4.58B,1100,4.58B,73,13.17,-24,Financial,Banks,Commer Banks-Central US,4561489020,62700880
IJJ US Equity,ISHARES S&P MID-,4.56B,1102,4.56B,140.84,--,-16.37,Funds,Equity Fund,Value-Mid Cap,4559424805,32500000
SDGR US Equity,SCHRODINGER INC,4.81B,1063,4.81B,76,--,--,Technology,Software,Medical Information Sys,4556076384,50132228
SHLX US Equity,SHELL MIDSTREAM,4.37B,1133,4.37B,11.12,7.63,-39.36,Energy,Pipelines,Pipelines,4546427048,393289537
FNDX US Equity,SCHW FUNDAM L/C,4.53B,1107,4.53B,39.12,--,-7.03,Funds,Equity Fund,Unclassified,4541676270,115800000
LFUS US Equity,LITTELFUSE INC,4.53B,1108,4.53B,185.9,76.94,-2.27,Industrial,Electrical Compo&Equip,Electric Products-Misc,4516580911,24341584
SKX US Equity,SKECHERS USA-A,4.72B,1077,4.72B,29.9,30.15,-30.77,"Consumer, Cyclical",Apparel,Footwear&Related Apparel,4514713731,136173766
TRGP US Equity,TARGA RESOURCES,4.70B,1084,4.70B,20.16,23.94,-48.75,Energy,Pipelines,Pipelines,4513130174,233116228
DVN US Equity,DEVON ENERGY CO,4.61B,1097,4.61B,12.04,23.52,-52.66,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,4505556000,382800000
ALK US Equity,ALASKA AIR GROUP,4.42B,1124,4.42B,35.76,--,-46.92,"Consumer, Cyclical",Airlines,Airlines,4502958967,123639730
MRO US Equity,MARATHON OIL,4.73B,1076,4.73B,5.98,--,-55.75,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,4488974739,790312454
STMP US Equity,STAMPS.COM INC,4.85B,1058,4.85B,283.95,77.82,239.98,Communications,Internet,E-Commerce/Services,4482088344,17085036
SWCH US Equity,SWITCH INC- A,4.47B,1114,4.47B,18.5,56.49,25.32,Communications,Telecommunications,Telecom Services,4479568427,103149364
ETRN US Equity,EQUITRANS MIDSTR,4.45B,1119,4.45B,10.3,4.95,-16.26,Energy,Pipelines,Pipelines,4476064500,432470000
TPL US Equity,TEXAS PAC LAND,4.67B,1092,4.67B,602,20.82,-20.96,Energy,Oil&Gas,Oil-US Royalty Trusts,4474526396,7756156
SLAB US Equity,SILICON LABS,4.46B,1115,4.46B,101.81,100.71,-12.22,Technology,Semiconductors,Electronic Compo-Semicon,4469337612,43795567
WH US Equity,WYNDHAM HOTELS &,4.32B,1143,4.32B,46.41,75.83,-25.32,"Consumer, Cyclical",Lodging,Hotels&Motels,4452166436,93161047
TPX US Equity,TEMPUR SEALY INT,4.42B,1123,4.42B,85.8,19.84,-1.45,"Consumer, Cyclical",Home Furnishings,Home Furnishings,4449137948,51566272
STWD US Equity,STARWOOD PROPERT,4.35B,1139,4.35B,15.3,14.37,-33.76,Financial,REITS,REITS-Mortgage,4446070600,284457492
PLNT US Equity,PLANET FITNESS-A,4.32B,1144,4.32B,49.97,111.4,-33.09,"Consumer, Cyclical",Leisure Time,Recreational Centers,4432817500,79994000
TREE US Equity,LENDINGTREE INC,4.40B,1127,4.40B,335.29,100.22,10.5,Financial,Diversified Finan Serv,Finance-Consumer Loans,4430824641,13115157
LANC US Equity,LANCASTER COLONY,4.40B,1126,4.40B,160.03,32.53,0.85,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,4424847960,27516000
FOXF US Equity,FOX FACTORY HOLD,4.06B,1193,4.06B,98.02,47.16,40.89,"Consumer, Cyclical",Leisure Time,Athletic Equipment,4422229316,41437681
YETI US Equity,YETI HOLDINGS IN,4.49B,1113,4.49B,51.63,63.06,48.45,"Consumer, Cyclical",Leisure Time,Athletic Equipment,4420180136,87011420
NEO US Equity,NEOGENOMICS INC,4.45B,1121,4.45B,40.32,--,37.85,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4418329506,110430630
FTEC US Equity,FID-INFO TECH,4.37B,1134,4.37B,90,--,25.1,Funds,Equity Fund,Unclassified,4411372559,48450000
MRCY US Equity,MERCURY SYSTEMS,4.38B,1131,4.38B,78.85,50.33,14.09,Industrial,Aerospace/Defense,Electronics-Military,4395635752,55598732
CYBR US Equity,CYBERARK SOFTWAR,4.46B,1117,4.46B,115.06,120.64,-1.3,Technology,Computers,Computer Data Security,4395622614,38731365
FFIN US Equity,FIRST FIN BANKSH,4.36B,1136,4.36B,30.72,24.65,-11.7,Financial,Banks,Commer Banks-Central US,4393154798,142035396
EWT US Equity,ISHARES MSCI TAI,4.38B,1132,4.38B,45.64,--,10.97,Funds,Equity Fund,Geo Focus-Equity,4392959961,96000000
IJT US Equity,ISHARES S&P SMAL,4.36B,1137,4.36B,185.69,--,-3.5,Funds,Equity Fund,Growth-Small Cap,4381872070,23650000
JEF US Equity,JEFFERIES FINANC,4.42B,1122,4.42B,16.59,--,-20.93,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,4380584016,266621060
SPEM US Equity,SPDR PORTFOLIO E,4.36B,1138,4.36B,37.05,--,-0.56,Funds,Equity Fund,Emerging Market-Equity,4368024414,117800000
SNDR US Equity,SCHNEIDER NATL-B,4.35B,1140,4.35B,24.53,19.6,13.19,Industrial,Transportation,Transport-Truck,4366093443,94309795
SSD US Equity,SIMPSON MFG,4.36B,1135,4.36B,100.39,28.34,25.96,Industrial,Building Materials,Bldg&Construct Prod-Misc,4362045334,43463983
QTS US Equity,QTS REALTY TRU-A,4.46B,1116,4.46B,72.56,360.37,36.03,Financial,REITS,REITS-Warehouse/Industr,4345691262,61303473
MDLA US Equity,MEDALLIA INC,4.39B,1129,4.39B,31.09,--,-0.06,Technology,Software,Applications Software,4345398119,141130176
SCHH US Equity,SCHWAB REIT,4.33B,1141,4.33B,36.4,--,-19.96,Funds,Equity Fund,Sector Fund-Real Estate,4344134766,119050000
NTRA US Equity,NATERA INC,4.03B,1203,4.03B,51.2,--,51.97,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Kits,4343275904,78725320
UAA US Equity,UNDER ARMOUR-A,4.53B,1106,4.53B,10.61,--,-50.88,"Consumer, Cyclical",Apparel,Apparel Manufacturers,4334896691,188532100
WES US Equity,WESTERN MIDSTREA,4.08B,1188,4.08B,9.2,5.6,-48.14,Utilities,Gas,Gas-Transportation,4324281524,443971409
GWPRF US Equity,GW PHARMACEUTICA,3.81B,1247,3.81B,10.22,144.88,17.47,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics,4322564351,372956372
EZU US Equity,ISHARES MSCI EUR,4.30B,1147,4.30B,38.81,--,-6.6,Funds,Equity Fund,Region Fund-EU,4320678711,111100000
MEDP US Equity,MEDPACE HOLDINGS,4.45B,1120,4.45B,125.8,43.25,49.66,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,4320498802,35408120
HUN US Equity,HUNTSMAN CORP,4.33B,1142,4.33B,19.63,31.6,-17.09,Basic Materials,Chemicals,Chemicals-Diversified,4318054447,220533935
RDFN US Equity,REDFIN CORP,4.16B,1175,4.16B,41.83,--,97.87,Financial,Real Estate,Real Estate Mgmnt/Servic,4315296643,99476640
IXN US Equity,ISHARES GLOBAL T,4.28B,1153,4.28B,257.49,--,22.85,Funds,Equity Fund,Sector Fund-Technology,4314419434,16550000
OMF US Equity,ONEMAIN HOLDINGS,4.29B,1148,4.29B,31.97,6.77,-17.77,Financial,Diversified Finan Serv,Finance-Consumer Loans,4304626109,134309707
FCN US Equity,FTI CONSULTING,4.42B,1125,4.42B,120.68,22.73,9.05,"Consumer, Non-cyclical",Commercial Services,Consulting Services,4304285316,36594842
ISTB US Equity,ISHARES CORE 1-5,4.28B,1152,4.28B,51.6,--,3.83,Funds,Debt Fund,Govt/Corp Short Term,4282613770,82900000
BKLN US Equity,INVESCO SENIOR L,4.29B,1150,4.29B,21.6,--,-3.08,Funds,Debt Fund,Government/Corporate,4282370117,197800000
MOMO US Equity,MOMO INC-ADR,4.19B,1164,4.19B,20.08,9.79,-38.03,Communications,Internet,Internet Content-Info/Ne,4274302648,168523951
EV US Equity,EATON VANCE CORP,4.31B,1146,4.31B,37.63,11.78,-17.09,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,4273155122,113929794
EEMV US Equity,ISHARES EDGE MSC,4.26B,1156,4.26B,55.46,--,-4.45,Funds,Equity Fund,Emerging Market-Equity,4271231934,76800000
ICSH US Equity,ISHARES ULTRA SH,4.26B,1155,4.26B,50.57,--,1.45,Funds,Debt Fund,Unclassified,4258837402,84250000
EXPO US Equity,EXPONENT INC,4.29B,1151,4.29B,83.14,54.07,21.13,Industrial,Engineering&Construction,Engineering/R&D Services,4258465355,51545910
NEOG US Equity,NEOGEN CORP,4.26B,1154,4.26B,80.45,70.89,23.28,"Consumer, Non-cyclical",Pharmaceuticals,Veterinary Diagnostics,4257774995,52963988
NFE US Equity,NEW FORTRESS ENE,4.39B,1130,4.39B,26,--,65.92,Energy,Pipelines,Pipelines,4249714115,168706396
BLUE US Equity,BLUEBIRD BIO INC,4.11B,1182,4.11B,62.06,--,-29.28,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4227674086,66222965
SLGN US Equity,SILGAN HOLDINGS,4.22B,1161,4.22B,38.05,14.99,23.42,Industrial,Packaging&Containers,Containers-Metal/Glass,4219757986,110871203
USO US Equity,UNITED STATES OI,4.29B,1149,4.29B,30.23,--,-70.5,Funds,Commodity Fund,Commodity,4216858398,139723603
FVRR US Equity,FIVERR INTERNATI,4.31B,1145,4.31B,122.87,--,422.85,Communications,Internet,E-Commerce/Services,4216175474,35117237
LOGM US Equity,LOGMEIN INC,4.21B,1162,4.21B,85.86,86.31,0.14,Communications,Telecommunications,Networking Products,4210539240,49028170
TRNO US Equity,TERRENO REALTY C,4.16B,1174,4.16B,60.96,65.53,13.81,Financial,REITS,REITS-Warehouse/Industr,4207312667,68322713
PSTH/U US Equity,PERSHING SQUARE,4.19B,1165,4.19B,20.95,--,--,Diversified,Holding Companies-Divers,Specified Purpose Acquis,4200002100,200000100
ARWR US Equity,ARROWHEAD PHARMA,4.46B,1118,4.46B,43.56,--,-31.33,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4196009759,102291803
LSCC US Equity,LATTICE SEMICOND,4.24B,1159,4.24B,31.31,88.5,63.58,Technology,Semiconductors,Electronic Compo-Semicon,4193233565,135309247
ALSN US Equity,ALLISON TRANSMIS,4.23B,1160,4.23B,37.41,10.15,-21.85,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,4189600246,113201844
MAN US Equity,MANPOWERGROUP IN,4.14B,1178,4.14B,71.36,13.21,-25.35,"Consumer, Non-cyclical",Commercial Services,Human Resources,4183667896,58050061
BRKS US Equity,BROOKS AUTOMATIO,4.18B,1170,4.18B,56.69,88.81,35.81,Technology,Semiconductors,Semiconductor Equipment,4181468346,73760246
EQT US Equity,EQT CORP,4.18B,1169,4.18B,16.36,--,50.92,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,4176555569,255603156
AAXJ US Equity,ISHARES MSCI ALL,4.16B,1176,4.16B,77.34,--,5.63,Funds,Equity Fund,Asian Pacific Ex Japan,4174341797,53800000
CZZ US Equity,COSAN LTD - A,4.25B,1157,4.25B,19.18,12.63,-15.42,"Consumer, Non-cyclical",Food,Sugar,4170014896,125477259
PINC US Equity,PREMIER INC-CL A,4.19B,1167,4.19B,34.37,--,-9.27,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Whsle Drug Dist,4169994310,71574119
TXRH US Equity,TEXAS ROADHOUS,4.09B,1186,4.09B,59.01,66.65,5.55,"Consumer, Cyclical",Retail,Retail-Restaurants,4157955132,69310804
FRPT US Equity,FRESHPET INC,4.18B,1171,4.18B,103.23,807.22,74.7,"Consumer, Cyclical",Retail,Retail-Pet Food&Supplies,4157155718,40474693
PFGC US Equity,PERFORMANCE FOOD,4.10B,1183,4.10B,30.96,19.22,-39.86,"Consumer, Non-cyclical",Food,Food-Wholesale/Distrib,4151965415,132481347
CW US Equity,CURTISS-WRIGHT,4.13B,1179,4.13B,99.4,15.13,-29.18,Industrial,Machinery-Diversified,Machinery-Pumps,4144809734,41576986
BPMC US Equity,BLUEPRINT MEDICI,4.19B,1168,4.19B,75.72,--,-5.48,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4124954957,55272075
SHM US Equity,SPDR NUV ST MUNI,4.11B,1181,4.11B,50.02,--,2.61,Funds,Debt Fund,Municipal,4112483398,82151082
CBPO US Equity,CHINA BIOLOGIC P,4.12B,1180,4.12B,107.18,26.91,-7.91,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,4110110750,38480580
VOOG US Equity,VANGUARD S&P GRO,4.08B,1192,4.08B,204.19,--,17.77,Funds,Equity Fund,Growth-Large Cap,4107957031,19900000
NEP US Equity,NEXTERA ENERGY P,4.10B,1184,4.10B,62.5,--,22.31,Energy,Energy-Alternate Sources,Energy-Alternate Sources,4098861718,65529364
NEA US Equity,NUV A-F QUAL INC,4.09B,1187,4.09B,14.64,--,4.64,Financial,Closed-end Funds,Closed-end Funds,4086919189,278590266
DKS US Equity,DICK'S SPORTING,4.19B,1166,4.19B,46.81,33.08,-3.06,"Consumer, Cyclical",Retail,Retail-Sporting Goods,4086846954,65156173
TCF US Equity,TCF FINANCIAL CO,4.17B,1172,4.17B,27.4,10.42,-40.11,Financial,Banks,Commer Banks-Central US,4081369572,152233106
NVTA US Equity,INVITAE CORP,4.40B,1128,4.40B,33.36,--,106.82,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,4080067656,131785131
AYI US Equity,ACUITY BRANDS,4.09B,1185,4.09B,103.23,14.47,-24.9,Industrial,Electrical Compo&Equip,Lighting Products&Sys,4059661074,39637386
VPU US Equity,VANGUARD UTI ETF,4.04B,1200,4.04B,131.07,--,-6.77,Funds,Equity Fund,Sector Fund-Utility,4057818115,30780688
API US Equity,AGORA INC-ADR,4.25B,1158,4.25B,41.74,--,--,Technology,Software,Communications Software,4057683343,82804497
ESNT US Equity,ESSENT GROUP LTD,4.05B,1197,4.05B,36.02,6.22,-30.11,Financial,Insurance,Reinsurance,4057357041,112423304
IART US Equity,INTEGRA LIFESCIE,4.06B,1194,4.06B,47.85,27.72,-17.9,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,4056346364,84843053
GO US Equity,GROCERY OUTLET,4.08B,1191,4.08B,44.85,140.3,38.21,"Consumer, Non-cyclical",Food,Food-Retail,4048419326,90873610
FNDF US Equity,SCHW FUNDAM INTL,4.04B,1198,4.04B,24.84,--,-13.39,Funds,Equity Fund,Unclassified,4047975830,162700000
MUSA US Equity,MURPHY USA INC,4.02B,1204,4.02B,137.74,10.95,17.73,Energy,Oil&Gas,Oil Refining&Marketing,4042560775,29177631
NXST US Equity,NEXSTAR MEDIA-A,3.91B,1223,3.91B,86.43,13.6,-25.38,Communications,Media,Television,4041069391,45262874
HIW US Equity,HIGHWOODS PROP,4.08B,1190,4.08B,39.25,31.22,-17.78,Financial,REITS,REITS-Office Property,4039485733,103896238
ALLK US Equity,ALLAKOS INC,3.95B,1214,3.95B,80.96,--,-15.1,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4032489564,48766351
NOVT US Equity,NOVANTA INC,3.83B,1239,3.83B,109.17,75.4,23.44,Industrial,Electrical Compo&Equip,Electric Products-Misc,4032331950,35155466
GPK US Equity,GRAPHIC PACKAGIN,4.04B,1199,4.04B,14.5,18.44,-11.9,Industrial,Packaging&Containers,Containers-Paper/Plastic,4023654447,278839532
BLI US Equity,BERKELEY LIGHTS,4.15B,1177,4.15B,65.96,--,--,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,4022970816,62858919
RLI US Equity,RLI CORP,4.00B,1207,4.00B,89.03,23.76,-0.53,Financial,Insurance,Property/Casualty Ins,4020111197,44952602
BOKF US Equity,BOK FINL CORP,4.00B,1208,4.00B,56.83,10.55,-33.88,Financial,Banks,Commer Banks-Central US,4015215066,70306690
TFSL US Equity,TFS FINANCIAL CO,3.97B,1211,3.97B,14.16,43.39,-25.8,Financial,Savings&Loans,S&L/Thrifts-Central US,4011739852,280149431
PFSI US Equity,PENNYMAC FINANCI,3.96B,1213,3.96B,49.98,6.26,47.94,Financial,Diversified Finan Serv,Finance-Mtge Loan/Banker,4000446300,79232448
EME US Equity,EMCOR GROUP INC,4.04B,1201,4.04B,73.6,11.92,-14.41,Industrial,Engineering&Construction,Building&Construct-Misc,3995504235,54905926
LPSN US Equity,LIVEPERSON INC,3.72B,1270,3.72B,56.13,--,51.7,Technology,Software,Enterprise Software/Serv,3994406086,66198311
VVV US Equity,VALVOLINE INC,4.06B,1195,4.06B,21.92,18.72,3.6,Basic Materials,Chemicals,Chemicals-Specialty,3991211119,185035286
HFC US Equity,HOLLYFRONTIER CO,4.20B,1163,4.20B,25.96,19.1,-47.8,Energy,Oil&Gas,Oil Refining&Marketing,3985635708,161886097
CHNG US Equity,CHANGE HEALTHCAR,3.76B,1260,3.76B,12.38,--,-24.47,Technology,Software,Medical Information Sys,3980208082,304297254
HLI US Equity,HOULIHAN LOKEY I,3.98B,1210,3.98B,57.3,20.48,18.55,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,3976964051,50733275
HOG US Equity,HARLEY-DAVIDSON,4.08B,1189,4.08B,26.63,23.49,-27.43,"Consumer, Cyclical",Leisure Time,Motorcycle/Motor Scooter,3976378089,153173270
HALO US Equity,HALOZYME THERAPE,3.94B,1215,3.94B,29.02,--,63.68,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,3975303294,135814940
HQY US Equity,HEALTHEQUITY INC,4.00B,1206,4.00B,52.19,55.07,-29.54,"Consumer, Non-cyclical",Commercial Services,Health Care Cost Contain,3970116224,76687584
OGS US Equity,ONE GAS INC,3.92B,1218,3.92B,74.16,21.44,-19.74,Utilities,Gas,Gas-Distribution,3964806183,52920531
MAT US Equity,MATTEL INC,4.03B,1202,4.03B,11.62,--,-14.24,"Consumer, Cyclical",Toys/Games/Hobbies,Toys,3963312495,346898249
HR US Equity,HEALTHCARE RLTY,3.92B,1220,3.92B,28.81,178.89,-12.06,Financial,REITS,REITS-Health Care,3957643098,136048233
NEU US Equity,NEWMARKET CORP,4.01B,1205,4.01B,367.5,17.92,-23.71,Basic Materials,Chemicals,Chemicals-Specialty,3955798518,10923999
FOLD US Equity,AMICUS THERAPEUT,3.89B,1227,3.89B,15.1,--,55.03,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,3955148586,257664403
PRF US Equity,INVESCO FTSE RAF,3.93B,1217,3.93B,114.97,--,-7.85,Funds,Equity Fund,Growth&Income-Large Cap,3942175049,34250000
GBT US Equity,GLOBAL BLOOD THE,4.17B,1173,4.17B,67.9,--,-14.58,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,3929544095,61360776
INOV US Equity,INOVALON HOLDI-A,3.92B,1219,3.92B,25.24,211.1,34.11,Technology,Software,Medical Information Sys,3928836400,76080519
FCNCA US Equity,FIRST CITIZENS-A,3.92B,1222,3.92B,408.99,9.74,-22.99,Financial,Banks,Commer Banks-Southern US,3927604445,8811220
NCLH US Equity,NORWEGIAN CRUISE,3.78B,1258,3.78B,13.72,--,-76.51,"Consumer, Cyclical",Leisure Time,Cruise Lines,3923321339,275514139
AER US Equity,AERCAP HOLDINGS,3.96B,1212,3.96B,30.55,3.25,-50.3,Financial,Diversified Finan Serv,Finance-Leasing Compan,3903150768,129672783
WMGI US Equity,WRIGHT MEDICAL G,3.90B,1224,3.90B,30.18,--,-0.98,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,3898814054,129271023
GSHD US Equity,GOOSEHEAD INSU-A,3.99B,1209,3.99B,109.16,485.91,157.45,Financial,Insurance,Insurance Brokers,3889502461,17268171
BBCA US Equity,JPM BB CANADA,3.85B,1235,3.85B,24.46,--,-4.67,Funds,Equity Fund,Unclassified,3887678955,158100000
THG US Equity,HANOVER INSURANC,3.89B,1226,3.89B,103.13,12.02,-23.53,Financial,Insurance,Property/Casualty Ins,3886628072,37737917
LMND US Equity,LEMONADE INC,3.65B,1282,3.65B,64.48,--,--,Financial,Insurance,Property/Casualty Ins,3884727100,56546246
HLNE US Equity,HAMILTON LANE-A,3.90B,1225,3.90B,72.49,39.52,22.81,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,3884002841,32772936
IRDM US Equity,IRIDIUM COMMUNIC,3.82B,1245,3.82B,28.8,--,16.86,Communications,Telecommunications,Satellite Telecom,3883034801,132526785
NFG US Equity,NATL FUEL GAS CO,3.83B,1240,3.83B,42.16,13.18,-7.37,Utilities,Gas,Gas-Distribution,3880048470,90931532
DGRW US Equity,WISDOMTREE U.S.,3.86B,1234,3.86B,48.36,--,1.08,Funds,Equity Fund,Aggressive Growth,3875120361,79850000
JHG US Equity,JANUS HENDERSON,3.93B,1216,3.93B,21.39,56.68,-9.46,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,3873779655,183852855
TPR US Equity,TAPESTRY INC,3.79B,1252,3.79B,13.74,--,-48.28,"Consumer, Cyclical",Apparel,Apparel Manufacturers,3873661801,276098489
SWX US Equity,SOUTHWEST GAS HO,3.80B,1251,3.80B,68.95,20.67,-7.85,Utilities,Gas,Gas-Distribution,3873232725,55056613
ONEM US Equity,1LIFE HEALTHCARE,3.82B,1243,3.82B,30.27,--,--,Technology,Software,Medical Information Sys,3870823912,126126553
RBC US Equity,REGAL BELOIT COR,3.92B,1221,3.92B,96.72,19.52,13.93,Industrial,Hand/Machine Tools,Machinery-Electrical,3870037980,40519715
AMLP US Equity,ALERIAN MLP ETF,3.85B,1236,3.85B,25.01,--,-37.8,Funds,Equity Fund,Sector Fund-Energy,3866438477,152582420
FTDR US Equity,FRONTDOOR IN,3.48B,1325,3.48B,40.74,26.35,-14.09,Industrial,Engineering&Construction,Building&Construct-Misc,3863059225,85428112
RYN US Equity,RAYONIER INC,3.81B,1248,3.81B,27.92,105.21,-12.57,Financial,REITS,REITS-Diversified,3859372286,136373579
NGHC US Equity,NATIONAL GENERAL,3.87B,1229,3.87B,34.15,10.04,55.35,Financial,Insurance,Property/Casualty Ins,3849982453,113401545
HAE US Equity,HAEMONETICS CORP,3.86B,1233,3.86B,76.11,34.91,-33.76,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,3835388277,50699118
NKTR US Equity,NEKTAR THERAPEUT,3.87B,1231,3.87B,21.75,--,0.76,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,3828561824,177989857
HE US Equity,HAWAIIAN ELEC,3.81B,1246,3.81B,34.93,17.42,-24.29,Utilities,Electric,Electric-Integrated,3824458040,109145492
VRNS US Equity,VARONIS SYSTEMS,3.76B,1261,3.76B,119.14,--,53.31,Technology,Computers,Computer Data Security,3821205917,31548926
SMTC US Equity,SEMTECH CORP,3.80B,1250,3.80B,58.32,84.19,10.25,Technology,Semiconductors,Electronic Compo-Semicon,3817186134,65150813
MNTA US Equity,MOMENTA PHARMACE,3.85B,1238,3.85B,32.7,--,65.74,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Generic Drugs,3813749017,117708303
TKR US Equity,TIMKEN CO,3.76B,1262,3.76B,50.05,11.13,-10.02,Industrial,Metal Fabricate/Hardware,Metal Processors&Fabrica,3804478206,75098267
MSGS US Equity,MADISON SQUARE G,3.79B,1254,3.79B,158.04,--,-24.67,"Consumer, Cyclical",Entertainment,Professional Sports,3803133848,19461991
CRUS US Equity,CIRRUS LOGIC INC,3.87B,1230,3.87B,66.32,21.21,-19.52,Technology,Semiconductors,Semicon Compo-Intg Circu,3798454762,58392848
OSTK US Equity,OVERSTOCK.COM,3.79B,1255,3.79B,93.85,--,1.23k,Communications,Internet,E-Commerce/Products,3796947208,40332985
OPK US Equity,OPKO HEALTH,3.65B,1281,3.65B,5.45,--,270.75,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,3787894441,669831024
MSM US Equity,MSC INDL DIRECT,3.82B,1242,3.82B,68.73,13.88,-2.99,"Consumer, Cyclical",Retail,Retail-Catalog Shopping,3787243005,45525464
JBGS US Equity,JBG SMITH PROPER,3.79B,1253,3.79B,28.35,--,-28.4,Financial,REITS,REITS-Office Property,3784908180,133789614
MTH US Equity,MERITAGE HOMES C,3.82B,1241,3.82B,101.61,11.53,66.27,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,3782537775,37603517
EQC US Equity,EQUITY COMMONWEA,3.78B,1257,3.78B,31.11,107.65,-5.24,Financial,REITS,REITS-Office Property,3774461641,121521624
FTI US Equity,TECHNIPFMC PLC,3.86B,1232,3.86B,8.6,--,-59.06,Energy,Oil&Gas Services,Oil-Field Services,3765403275,449332133
VERX US Equity,VERTEX INC - A,3.61B,1291,3.61B,24.69,--,--,Technology,Software,Enterprise Software/Serv,3765244377,25749319
APPN US Equity,APPIAN CORP,3.69B,1274,3.69B,52.96,--,38.6,Technology,Software,Enterprise Software/Serv,3764960815,37632914
POR US Equity,PORTLAND GENERAL,3.73B,1267,3.73B,41.63,16.04,-24.02,Utilities,Electric,Electric-Integrated,3761149061,89508545
FGEN US Equity,FIBROGEN INC,3.80B,1249,3.80B,42.65,--,-0.56,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,3745218729,90355096
CFX US Equity,COLFAX CORP,3.69B,1275,3.69B,31.18,35.67,-14.29,Industrial,Hand/Machine Tools,Mach Tools&Rel Products,3744644481,118389013
CCOI US Equity,COGENT COMMUNICA,4.05B,1196,4.05B,85.89,93.54,32.82,Communications,Internet,Internet Connectiv Svcs,3738250864,47289701
PSB US Equity,PS BUSINESS PARK,3.82B,1244,3.82B,138.9,44.76,-14.46,Financial,REITS,REITS-Diversified,3732947160,27482494
ESGR US Equity,ENSTAR GROUP LTD,3.78B,1256,3.78B,171,53,-17.34,Financial,Insurance,Property/Casualty Ins,3727613044,18624473
FLS US Equity,FLOWSERVE CORP,3.77B,1259,3.77B,28.97,15.1,-40.88,Industrial,Machinery-Diversified,Machinery-Pumps,3726472784,130159720
PPC US Equity,PILGRIM'S PRIDE,3.74B,1265,3.74B,15.32,18.3,-53.17,"Consumer, Non-cyclical",Food,Poultry,3726362196,244031578
ARNA US Equity,ARENA PHARMACEUT,3.71B,1271,3.71B,64.43,--,41.85,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,3725721538,57646937
